graph	algo	n	m	gn	gm	rn	rm	offset	time	seed	mem
sat14_ACG-20-10p1.cnf.dual.hgr.random100	graphred15	1632906	381708	1632906	30673242	1037403	10169945	13149	5.78290	21	905600
sat14_ACG-20-10p1.cnf.dual.hgr.random100	graphred15	1632906	381708	1632906	30673242	1037403	10169945	13149	5.73472	203	905612
sat14_ACG-20-10p1.cnf.dual.hgr.random100	graphred15	1632906	381708	1632906	30673242	1037403	10169945	13149	5.72351	1002	905144
sat14_AProVE07-27.cnf.dual.hgr.random100	graphred15	29194	7729	29194	5967170	4652	16534	1195	21.77591	1	103424
sat14_AProVE07-27.cnf.dual.hgr.random100	graphred15	29194	7729	29194	5967170	4652	16534	1195	22.01429	21	103424
sat14_AProVE07-27.cnf.dual.hgr.random100	graphred15	29194	7729	29194	5967170	4652	16534	1195	21.41235	203	103424
sat14_AProVE07-27.cnf.dual.hgr.random100	graphred15	29194	7729	29194	5967170	4652	16534	1195	21.72523	1002	103424
dac2012_superblue7.hgr.random100	graphred15	1360217	1340418	1360217	153714989	150240	5390378	257880	465.79103	1	2776340
dac2012_superblue7.hgr.random100	graphred15	1360217	1340418	1360217	153714989	150240	5390378	257880	466.08541	21	2776340
dac2012_superblue7.hgr.random100	graphred15	1360217	1340418	1360217	153714989	150240	5390378	257880	466.84399	203	2775536
dac2012_superblue7.hgr.random100	graphred15	1360217	1340418	1360217	153714989	150240	5390378	257880	465.12127	1002	2776344
sat14_atco_enc1_opt2_10_12.cnf.dual.hgr.random100	graphred15	147853	9495	147853	65267498	58119	10746763	1502	12.36306	1	1183112
sat14_atco_enc1_opt2_10_12.cnf.dual.hgr.random100	graphred15	147853	9495	147853	65267498	58119	10746763	1502	12.41967	21	1183124
sat14_dated-10-11-u.cnf.hgr.random100	graphred15	283720	629461	283720	1163511	26977	196866	81041	0.16424	1	109500
sat14_atco_enc1_opt2_10_12.cnf.dual.hgr.random100	graphred15	147853	9495	147853	65267498	58119	10746763	1502	12.40493	203	1182292
sat14_dated-10-11-u.cnf.hgr.random100	graphred15	283720	629461	283720	1163511	26977	196866	81041	0.16095	21	109552
sat14_atco_enc1_opt2_10_12.cnf.dual.hgr.random100	graphred15	147853	9495	147853	65267498	58119	10746763	1502	12.40552	1002	1183120
sat14_dated-10-11-u.cnf.hgr.random100	graphred15	283720	629461	283720	1163511	26977	196866	81041	0.16063	203	109548
sat14_dated-10-11-u.cnf.hgr.random100	graphred15	283720	629461	283720	1163511	26977	196866	81041	0.15964	1002	109548
sat14_dated-10-17-u.cnf.hgr.random100	graphred15	459088	1070757	459088	2036049	50155	496220	129101	0.31486	1	181248
sat14_bob12m09-opt.cnf.dual.hgr.random100	graphred15	152446	51144	152446	10738809	101583	2743101	2	11.33163	1	232584
sat14_dated-10-17-u.cnf.hgr.random100	graphred15	459088	1070757	459088	2036049	50155	496220	129101	0.31314	21	181248
sat14_dated-10-17-u.cnf.hgr.random100	graphred15	459088	1070757	459088	2036049	50155	496220	129101	0.31232	203	181248
sat14_bob12m09-opt.cnf.dual.hgr.random100	graphred15	152446	51144	152446	10738809	101583	2743101	2	11.50396	21	233848
sat14_dated-10-17-u.cnf.hgr.random100	graphred15	459088	1070757	459088	2036049	50155	496220	129101	0.31190	1002	181248
sat14_bob12m09-opt.cnf.dual.hgr.random100	graphred15	152446	51144	152446	10738809	101583	2743101	2	11.22768	203	233848
sat14_bob12m09-opt.cnf.dual.hgr.random100	graphred15	152446	51144	152446	10738809	101583	2743101	2	11.19123	1002	233448
sat14_E02F22.cnf.primal.hgr.random100	graphred15	13574	1301188	13574	226138	13450	222192	0	1.53445	1	179200
sat14_E02F22.cnf.primal.hgr.random100	graphred15	13574	1301188	13574	226138	13450	222192	0	1.51022	21	179200
sat14_E02F22.cnf.primal.hgr.random100	graphred15	13574	1301188	13574	226138	13450	222192	0	1.49747	203	179200
sat14_E02F22.cnf.primal.hgr.random100	graphred15	13574	1301188	13574	226138	13450	222192	0	1.57505	1002	179200
sat14_manol-pipe-c10nid_i.cnf.primal.hgr.random100	graphred15	252516	750877	252516	713279	119135	250442	41579	10.54103	1	107520
sat14_MD5-30-5.cnf.dual.hgr.random100	graphred15	68103	8905	68103	4878256	12890	87671	11	0.42062	1	94208
sat14_manol-pipe-c10nid_i.cnf.primal.hgr.random100	graphred15	252516	750877	252516	713279	119135	250442	41579	10.25096	21	107520
sat14_MD5-30-5.cnf.dual.hgr.random100	graphred15	68103	8905	68103	4878256	12890	87671	11	0.41158	21	94208
sat14_manol-pipe-c10nid_i.cnf.primal.hgr.random100	graphred15	252516	750877	252516	713279	119135	250442	41579	10.55150	203	107520
sat14_MD5-30-5.cnf.dual.hgr.random100	graphred15	68103	8905	68103	4878256	12890	87671	11	0.41251	203	94208
sat14_manol-pipe-c10nid_i.cnf.primal.hgr.random100	graphred15	252516	750877	252516	713279	119135	250442	41579	10.37091	1002	106496
sat14_MD5-30-5.cnf.dual.hgr.random100	graphred15	68103	8905	68103	4878256	12890	87671	11	0.41161	1002	94208
sat14_atco_enc1_opt2_05_4.cnf.dual.hgr.random100	graphred15	386163	14636	386163	363318742	126654	20775991	1958	69.62164	1	6016100
sat14_openstacks-p30_3.085-SAT.cnf.hgr.random100	graphred15	643132	1643601	643132	11986190	67834	1569168	154727	9.92393	1	423632
sat14_atco_enc1_opt2_05_4.cnf.dual.hgr.random100	graphred15	386163	14636	386163	363318742	126654	20775991	1958	69.57131	21	6016096
sat14_openstacks-p30_3.085-SAT.cnf.hgr.random100	graphred15	643132	1643601	643132	11986190	67834	1569168	154727	9.99126	21	423628
sat14_atco_enc1_opt2_05_4.cnf.dual.hgr.random100	graphred15	386163	14636	386163	363318742	126654	20775991	1958	69.66177	203	6015140
sat14_atco_enc1_opt2_05_4.cnf.dual.hgr.random100	graphred15	386163	14636	386163	363318742	126654	20775991	1958	69.22334	1002	6016100
sat14_openstacks-p30_3.085-SAT.cnf.hgr.random100	graphred15	643132	1643601	643132	11986190	67834	1569168	154727	9.87037	203	422932
sat14_openstacks-p30_3.085-SAT.cnf.hgr.random100	graphred15	643132	1643601	643132	11986190	67834	1569168	154727	9.91411	1002	423628
sat14_manol-pipe-c10nidw.cnf.dual.hgr.random100	graphred15	1291714	433601	1291714	100137024	860669	25541952	153	314.04563	1	2072512
sat14_manol-pipe-c10nidw.cnf.dual.hgr.random100	graphred15	1291714	433601	1291714	100137024	860669	25541952	153	311.54937	203	2072508
sat14_manol-pipe-c10nidw.cnf.dual.hgr.random100	graphred15	1291714	433601	1291714	100137024	860669	25541952	153	315.42858	21	2072508
sat14_manol-pipe-c10nidw.cnf.dual.hgr.random100	graphred15	1291714	433601	1291714	100137024	860669	25541952	153	319.35529	1002	2072512
sat14_q_query_3_L100_coli.sat.cnf.primal.hgr.random100	graphred15	315617	1522583	315617	1654773	222673	1038568	31667	29.80962	1	200424
sat14_q_query_3_L100_coli.sat.cnf.primal.hgr.random100	graphred15	315617	1522583	315617	1654773	222673	1038568	31667	30.04852	21	201172
sat14_q_query_3_L100_coli.sat.cnf.primal.hgr.random100	graphred15	315617	1522583	315617	1654773	222673	1038568	31667	29.43701	203	201128
sat14_q_query_3_L100_coli.sat.cnf.primal.hgr.random100	graphred15	315617	1522583	315617	1654773	222673	1038568	31667	30.87990	1002	201172
dac2012_superblue9.hgr.random100	graphred15	844332	833808	844332	217262717	95342	8572987	168679	1288.89118	1	3717924
