graph	algo	n	m	rn	rm	gm	rgm	seed
shermanACb.mtx.hgr.random100.rendered	reduce8	18510	18510	0	0	74214440	0	1002
ship_001.mtx.hgr.random100	reduce8	34920	34920	3133	1505	12782809	96045	203
ship_001.mtx.hgr.random100	reduce8	34920	34920	3133	1505	12782809	96045	1002
sls.mtx.hgr.random100	reduce8	62729	1748122	60640	1362532	2328114	1363267	1
sls.mtx.hgr.random100	reduce8	62729	1748122	60640	1362532	2328114	1363267	21
sls.mtx.hgr.random100	reduce8	62729	1748122	60640	1362532	2328114	1363267	203
sls.mtx.hgr.random100	reduce8	62729	1748122	60640	1362532	2328114	1363267	1002
soc-sign-epinions.mtx.hgr.random100	reduce8	131828	95318	0	0	37006897	0	1
soc-sign-epinions.mtx.hgr.random100	reduce8	131828	95318	0	0	37006897	0	21
soc-sign-epinions.mtx.hgr.random100	reduce8	131828	95318	0	0	37006897	0	203
soc-sign-epinions.mtx.hgr.random100	reduce8	131828	95318	0	0	37006897	0	1002
TSOPF_FS_b162_c3.mtx.hgr.random100.rendered	reduce8	30798	30798	0	0	116851989	0	1
TSOPF_FS_b162_c3.mtx.hgr.random100.rendered	reduce8	30798	30798	0	0	116851989	0	21
TSOPF_FS_b162_c3.mtx.hgr.random100.rendered	reduce8	30798	30798	0	0	116851989	0	203
xenon2.mtx.hgr.random100	reduce8	157464	157464	51656	58247	6939873	747917	1
TSOPF_FS_b162_c3.mtx.hgr.random100.rendered	reduce8	30798	30798	0	0	116851989	0	1002
xenon2.mtx.hgr.random100	reduce8	157464	157464	51656	58247	6939873	747917	21
xenon2.mtx.hgr.random100	reduce8	157464	157464	51656	58247	6939873	747917	203
xenon2.mtx.hgr.random100	reduce8	157464	157464	51656	58247	6939873	747917	1002
sat14_post-cbmc-aes-d-r2-noholes.cnf.dual.hgr.random100	reduce8	1607567	276895	664448	124761	453121947	104698736	1
sat14_post-cbmc-aes-d-r2-noholes.cnf.dual.hgr.random100	reduce8	1607567	276895	664448	124761	453121947	104698736	21
