graph	algo	n	m	e	rn	rm	re	offset	time	seed
sat14_atco_enc1_opt2_05_4.cnf.dual.hgr.random100	reduce6	386163	14636	112.93	385934	14498	113.93	83	23.85297	21
sat14_atco_enc1_opt2_05_4.cnf.dual.hgr.random100	reduce8	386163	14636	112.93	126654	10519	42.66	1958	69.12941	1
sat14_atco_enc1_opt2_05_4.cnf.dual.hgr.random100	reduce9	386163	14636	112.93	126654	10519	42.66	1958	68.57112	1
sat14_atco_enc1_opt2_05_4.cnf.dual.hgr.random100	reduce10	386163	14636	112.93	126654	10519	42.66	1958	67.74021	1
sat14_atco_enc1_opt2_05_4.cnf.dual.hgr.random100	reduce1	386163	14636	112.93	386163	14618	113.06	0	0.05838	203
sat14_atco_enc1_opt2_05_4.cnf.dual.hgr.random100	reduce11	386163	14636	112.93	126654	10519	42.66	1958	68.09400	1
sat14_atco_enc1_opt2_05_4.cnf.dual.hgr.random100	reduce2	386163	14636	112.93	385886	14482	114.05	99	0.06132	203
sat14_atco_enc1_opt2_05_4.cnf.dual.hgr.random100	reduce3	386163	14636	112.93	386163	14599	113.21	0	0.05918	203
sat14_atco_enc1_opt2_05_4.cnf.dual.hgr.random100	reduce14	386163	14636	112.93	126654	10519	42.66	1958	67.38627	1
sat14_atco_enc1_opt2_05_4.cnf.dual.hgr.random100	reduce13	386163	14636	112.93	126654	10519	42.66	1958	68.47859	1
sat14_atco_enc1_opt2_05_4.cnf.dual.hgr.random100	reduce4	386163	14636	112.93	304674	13351	91.50	663	2.45745	203
sat14_atco_enc1_opt2_05_4.cnf.dual.hgr.random100	reduce8	386163	14636	112.93	126654	10519	42.66	1958	69.34344	21
sat14_atco_enc1_opt2_05_4.cnf.dual.hgr.random100	reduce9	386163	14636	112.93	126654	10519	42.66	1958	69.14928	21
sat14_atco_enc1_opt2_05_4.cnf.dual.hgr.random100	reduce10	386163	14636	112.93	126654	10519	42.66	1958	68.33565	21
sat14_atco_enc1_opt2_05_4.cnf.dual.hgr.random100	reduce15	386163	14636	112.93	303592	13351	91.33	664	16.26778	21
